Product Name,Price,Rating
Aroma NB126 Amplifier 40 Hours* Playtime | Perfect for ...,₹404,3.6
ZEBRONICS ZEB-Sound Feast 50 / ZEB-Sound Feast 51 14 W ...,₹949,4
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...",₹999,4.2
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,4
"Mivi Duopods K2, 40Hrs PT, HD Call, Fast Charging, 50ms...",₹699,3.9
"boAt Bar 590 with RMS, Dual Passive Radiatior & 7 Hours...","₹1,599",4
Aroma NB119 Pro Belief Upto 48H Playtime* Fast Charging...,₹289,3.6
"Boult W20 with Zen ENC Mic, 40H Battery Life, Low Laten...",₹899,4.1
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,4
"Boult Z40 Pro with 100H Battery, Quad Mic ENC, Scratch ...","₹1,198",4.1
boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,₹799,4
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","₹1,199",4.1
Aroma NB126 Amplifier 40 Hours Bluetooth Gaming,₹399,3.6
"boAt Rockerz 110 with 40 HRS Playback, ENx Technology, ...",₹699,4.1
"boAt Rockerz 430 w/ Beast Mode(40ms Low Latency),40HRS ...","₹1,199",4
"ZEBRONICS Juke Bar 3903 (ZEB-SBSPK C6) , Virtual 5.1 Su...","₹3,699",4.1
Aroma NB126 Aster V5.4 Upto 50Hr Playtime* 45Ms Latency...,₹469,3.9
Aroma NB121 Almaty Upto 40H Playtime* Fast Charging Wit...,₹299,3.8
"Boult Z40 Gaming with 60H Battery, 4 Mic ENC, Mode Sync...",₹999,4.1
"Aroma NB120 Amaze Upto 50 Hours* Playtime, Fast Chargin...","₹2,999",3.7
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹799,4
Aroma NB138 Bound 32dB Active Noise Cancellation 60H* F...,₹495,3.9
"Boult Mustang Q 70Hrs Battery, ENC Mic, 40mm Bass Boost...","₹2,499",4.2
"Aroma NB126 Berry V5.4 Upto 60Hr Playtime* Dual Paring,...",₹449,3.9
"truke BTG Ultra with 60H Playtime, 360Spatial, Low Late...",₹799,4.1
SONY New SA-D40M2 4.1ch Home Theatre / PC Speaker syste...,"₹9,489",4.4
"boAt Rockerz 450 w/ 40mm Drivers, 15 HRS Playback, Soft...","₹1,299",4.3
"HOPPUP Xo6 Gaming Earbuds with 35MS Low Latency, RGB LE...",₹799,4
"boAt Airdopes 161, Adv 4Mic ENx, 50H Battery,Fast Charg...",₹799,3.9
truke Crystal Dyno Leather Finish earbuds w/ Spatial Au...,₹999,4.7
Aroma NB140 Matrix Upto 40Hr Playtime* Fast Charging Du...,₹399,3.8
"Aroma NB124 Bombay Upto 100 Hours Playtime*,ENC, Voice ...",₹449,4
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...",₹999,4.3
"Aroma NB119 Zebra Upto 100H Playtime, ENC, Magnetic On/...",₹479,4
"boAt Airdopes 131 Pro Buds w/ In Ear Detection, 4 Mics ...",₹999,4
"CMF by Nothing Buds 42 dB Active Noise Cancellation, Ul...","₹1,799",4.3
"realme Buds T200 Lite with 12.4mm Driver, 48hrs Playbac...","₹1,299",4
Aroma NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,₹289,3.6
"truke Buds F1 Ultra with 60 Hours Playtime, Spatial Aud...",₹699,4
ZEBRONICS Zeb-Thunder (Sea Green) Bluetooth,₹699,4
Aroma NB126 Amplifier 40 Hours* Playtime | Perfect for ...,₹404,3.6
boAt Airdopes 131 Elite ANC w/ Active Noise Cancellatio...,"₹1,299",4
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...",₹999,4.2
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,4
"Noise Airwave, ENC calling, 50 Hrs of Playtime, Low lat...",₹999,4.1
"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...",₹999,4.1
Aroma NB119 Pro Belief Upto 48H Playtime* Fast Charging...,₹289,3.6
"Boult W20 with Zen ENC Mic, 40H Battery Life, Low Laten...",₹899,4.1
boAt Rockerz 235 Pro with upto 20 Hours Playback & ASAP...,₹699,4.1
"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Pla...","₹1,099",4.1
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","₹1,099",4.1
F FERONS Powerpact bass & stereo audio color changIng l...,₹376,4
"boAt Rockerz 110 with 40 HRS Playback, ENx Technology, ...",₹699,4.1
boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playbac...,₹799,4
"boAt Immortal 171 w/ Beast Mode(40ms Low Latency), 40 H...",₹995,4
"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...",₹799,4.1
Aroma NB126 Aster V5.4 Upto 50Hr Playtime* 45Ms Latency...,₹469,3.9
"Boult Z40 with Zen ENC Mic, 60H Battery Life, Low Laten...",₹799,4.1
MZ Mpods19 (Wireless Earbuds) 1200mAh Battery True Wire...,₹286,3.7
"TRIGGR Apex S2 2025, Dual Pairing, 60H Battery, Preset ...",₹799,4
"realme Buds T200 Lite with 12.4mm Driver, 48hrs Playbac...","₹1,299",4
"JBL Go Essential with Rich Bass, 5 Hrs Playtime, IPX7 W...","₹1,499",4.2
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹799,4
"Boult Mustang Q 70Hrs Battery, ENC Mic, 40mm Bass Boost...","₹2,499",4.2
boAt Stone 350 10 W Bluetooth Speaker,"₹1,199",4.3
"boAt Bassheads 122 ANC w/ Active Noise Cancellation, Ty...",₹699,4
Aroma NB140 Matrix Upto 40Hr Playtime* Fast Charging Du...,₹399,3.8
"HOPPUP Xo6 Gaming Earbuds with 35MS Low Latency, RGB LE...",₹799,4
"boAt Airdopes 161 ANC Elite w/ ANC, 50 HRS Playback, AS...","₹1,199",4
ZEBRONICS JUKE BAR 800 300 W Bluetooth Soundbar,"₹6,999",4.3
"Aroma NB119 Zebra Upto 100H Playtime, ENC, Magnetic On/...",₹479,4
boAt 330 Pro Bluetooth,"₹1,299",4.2
"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...",₹999,4.1
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...",₹999,4.3
vivo TWS 3e buds up-to 30dB Active Noise Cancellation |...,"₹1,499",4.1
"Noise Buds Verve 2 with 50Hr Playtime, ENC, Quad Mic & ...","₹1,499",4
Aroma NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,₹289,3.6
"Boult Z40 with Zen ENC Mic, 60H Battery Life, Low Laten...",₹878,4.1
"HOPPUP S40 Earbuds with 13MM Drivers, 40H Playtime, Rag...",₹599,4.1
Apple AirPods Pro (2nd generation) with MagSafe Case (U...,"₹17,990",4.6
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","₹1,199",4.1
boAt 450 Pro with Upto 70 Hours Playback Bluetooth,"₹1,529",4.2
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...",₹999,4.2
"Mivi Duopods K2, 40Hrs PT, HD Call, Fast Charging, 50ms...",₹699,3.9
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...",₹999,4.2
MZ M406SP (PORTABLE BLUETOOTH SPEAKER) Dynamic Thunder ...,₹290,4.1
Aroma NB119 Pro Belief Upto 48H Playtime* Fast Charging...,₹289,3.6
"Boult W20 with Zen ENC Mic, 40H Battery Life, Low Laten...",₹899,4.1
